JobID,JobTitle,Company,Location,Skill,ExperienceLevel,Salary_LPA,PostedDate,Year,Month
45,ML Engineer,Tech Mahindra,Delhi,Tableau,Senior,12.4,31-08-2022,2022,Aug
46,ML Engineer,Oracle,Noida,Power BI,Mid-Level,23.9,15-11-2020,2020,Nov
47,Data Engineer,Cognizant,Gurgaon,Azure,Mid-Level,7,05-02-2023,2023,Feb
48,Project Manager,TCS,Ahmedabad,Excel,Mid-Level,8,20-10-2020,2020,Oct
49,Data Analyst,Accenture,Kolkata,Excel,Mid-Level,29.9,01-01-2022,2022,Jan
50,Business Analyst,Capgemini,Gurgaon,Excel,Mid-Level,29.3,26-01-2022,2022,Jan
51,Data Analyst,Accenture,Pune,Excel,Mid-Level,16.2,04-03-2022,2022,Mar
52,Data Analyst,Deloitte,Chennai,AWS,Mid-Level,10.8,16-01-2021,2021,Jan
53,Business Analyst,Deloitte,Gurgaon,Azure,Senior,28.2,04-02-2020,2020,Feb
54,Data Scientist,Zoho,Pune,Azure,Fresher,22.4,05-08-2020,2020,Aug
55,Data Scientist,IBM,Mumbai,AWS,Mid-Level,15.7,02-10-2022,2022,Oct
56,DevOps Engineer,Infosys,Delhi,Machine Learning,Fresher,28.6,04-04-2022,2022,Apr
57,Business Analyst,Oracle,Bangalore,Azure,Mid-Level,21.7,25-04-2020,2020,Apr
58,Software Engineer,Zoho,Gurgaon,Power BI,Senior,28.1,07-09-2022,2022,Sep
59,Project Manager,Infosys,Pune,SQL,Mid-Level,9.2,20-07-2020,2020,Jul
60,ML Engineer,Infosys,Noida,AWS,Senior,5.7,07-06-2022,2022,Jun
61,DevOps Engineer,HCLTech,Noida,R,Leadership,12.7,21-08-2021,2021,Aug
62,Data Engineer,Oracle,Hyderabad,AWS,Fresher,7.3,13-02-2020,2020,Feb
63,Project Manager,Infosys,Hyderabad,Machine Learning,Mid-Level,4.8,01-04-2020,2020,Apr
64,Data Scientist,IBM,Kolkata,Python,Senior,8.2,14-08-2020,2020,Aug
65,Data Scientist,Flipkart,Hyderabad,Power BI,Leadership,22,08-01-2020,2020,Jan
66,Project Manager,Amazon,Noida,Power BI,Mid-Level,5.3,11-06-2020,2020,Jun
67,Data Analyst,Wipro,Chennai,SQL,Leadership,7,11-02-2020,2020,Feb
68,Software Engineer,Accenture,Hyderabad,SQL,Mid-Level,27.1,13-10-2020,2020,Oct
69,ML Engineer,Oracle,Mumbai,Tableau,Mid-Level,7.2,22-03-2021,2021,Mar
70,Project Manager,Flipkart,Chennai,AWS,Fresher,26.8,02-11-2022,2022,Nov
71,DevOps Engineer,HCLTech,Pune,Power BI,Mid-Level,8.9,15-04-2022,2022,Apr
72,Software Engineer,IBM,Chennai,Azure,Leadership,27.2,26-09-2020,2020,Sep
73,Project Manager,Accenture,Chennai,Excel,Fresher,19.3,02-01-2020,2020,Jan
74,Business Analyst,Infosys,Gurgaon,Excel,Mid-Level,16.6,05-12-2021,2021,Dec
75,Software Engineer,HCLTech,Chennai,Python,Mid-Level,17,15-06-2020,2020,Jun
76,ML Engineer,Cognizant,Hyderabad,R,Mid-Level,15.2,04-04-2022,2022,Apr
77,Software Engineer,HCLTech,Ahmedabad,Python,Leadership,13.6,07-05-2020,2020,May
78,Project Manager,Infosys,Mumbai,Machine Learning,Leadership,24.1,11-10-2021,2021,Oct
79,Project Manager,Accenture,Chennai,Tableau,Fresher,19.6,05-11-2021,2021,Nov
80,DevOps Engineer,Oracle,Hyderabad,Power BI,Leadership,17.8,26-09-2022,2022,Sep
81,ML Engineer,IBM,Hyderabad,Tableau,Mid-Level,4.5,27-09-2022,2022,Sep
82,ML Engineer,IBM,Kolkata,Excel,Leadership,15.7,10-05-2022,2022,May
83,Software Engineer,Capgemini,Noida,Azure,Mid-Level,11.3,31-08-2021,2021,Aug
84,Data Analyst,Wipro,Bangalore,Machine Learning,Fresher,8.1,25-07-2020,2020,Jul
85,DevOps Engineer,Tech Mahindra,Kolkata,R,Mid-Level,26.7,29-04-2020,2020,Apr
86,Business Analyst,HCLTech,Bangalore,Spark,Mid-Level,9.4,09-07-2021,2021,Jul
87,ML Engineer,Capgemini,Chennai,Python,Fresher,18.9,09-06-2021,2021,Jun
88,Data Scientist,Cognizant,Hyderabad,Azure,Leadership,20.1,26-06-2020,2020,Jun
89,Data Analyst,Wipro,Bangalore,Tableau,Mid-Level,24.2,09-05-2020,2020,May
90,Data Engineer,TCS,Mumbai,SQL,Mid-Level,14.2,25-06-2022,2022,Jun
91,Software Engineer,Zoho,Noida,Power BI,Fresher,14.8,14-07-2022,2022,Jul
92,Project Manager,Accenture,Mumbai,Azure,Fresher,26.9,28-10-2022,2022,Oct
93,Business Analyst,HCLTech,Ahmedabad,AWS,Mid-Level,15.6,04-01-2021,2021,Jan
94,Project Manager,Oracle,Delhi,R,Senior,10.9,16-09-2021,2021,Sep
95,Data Engineer,Wipro,Chennai,AWS,Mid-Level,26.1,15-12-2020,2020,Dec
96,DevOps Engineer,HCLTech,Delhi,Spark,Senior,16.1,07-11-2021,2021,Nov
97,DevOps Engineer,IBM,Pune,AWS,Fresher,17,07-10-2022,2022,Oct
98,Data Analyst,Tech Mahindra,Bangalore,SQL,Mid-Level,14.8,31-08-2022,2022,Aug
99,Software Engineer,Amazon,Noida,Python,Senior,5.1,24-03-2022,2022,Mar
100,DevOps Engineer,Zoho,Chennai,Azure,Fresher,17.3,23-06-2020,2020,Jun
101,Project Manager,Wipro,Delhi,Tableau,Fresher,19.4,06-12-2022,2022,Dec
102,Data Engineer,Deloitte,Chennai,Excel,Mid-Level,7.2,03-01-2020,2020,Jan
103,Data Analyst,Tech Mahindra,Gurgaon,Power BI,Senior,11.4,06-03-2021,2021,Mar
104,Data Analyst,Zoho,Delhi,Python,Mid-Level,22,17-02-2021,2021,Feb
105,Data Analyst,Cognizant,Hyderabad,Excel,Fresher,15.5,25-06-2022,2022,Jun
106,Data Analyst,Wipro,Kolkata,AWS,Fresher,21.6,15-02-2023,2023,Feb
107,Business Analyst,Cognizant,Hyderabad,Spark,Mid-Level,23.5,04-12-2021,2021,Dec
108,Data Analyst,HCLTech,Chennai,AWS,Mid-Level,4.6,21-01-2022,2022,Jan
109,Software Engineer,Zoho,Kolkata,AWS,Leadership,28,12-05-2021,2021,May
110,Data Analyst,Infosys,Hyderabad,Spark,Mid-Level,14.6,11-08-2022,2022,Aug
111,DevOps Engineer,HCLTech,Bangalore,Spark,Mid-Level,27,28-01-2020,2020,Jan
112,Project Manager,Tech Mahindra,Delhi,Tableau,Senior,13.5,15-11-2020,2020,Nov
113,Software Engineer,TCS,Hyderabad,Machine Learning,Fresher,21.5,27-06-2021,2021,Jun
114,DevOps Engineer,Oracle,Chennai,AWS,Leadership,29.8,10-01-2021,2021,Jan
115,ML Engineer,Wipro,Kolkata,Excel,Mid-Level,21.2,12-07-2020,2020,Jul
116,DevOps Engineer,HCLTech,Mumbai,Azure,Mid-Level,20,09-02-2021,2021,Feb
117,Project Manager,Accenture,Bangalore,Azure,Mid-Level,12.2,05-01-2020,2020,Jan
118,Data Scientist,Tech Mahindra,Pune,Power BI,Mid-Level,26.1,30-06-2020,2020,Jun
119,ML Engineer,IBM,Delhi,Tableau,Fresher,15.8,07-07-2022,2022,Jul
120,Project Manager,Cognizant,Pune,Power BI,Fresher,4.7,28-10-2022,2022,Oct
121,Project Manager,Tech Mahindra,Delhi,Tableau,Fresher,20.6,20-08-2020,2020,Aug
122,Project Manager,Accenture,Kolkata,Azure,Fresher,4.3,25-11-2020,2020,Nov
123,ML Engineer,HCLTech,Ahmedabad,AWS,Mid-Level,9.8,29-11-2022,2022,Nov
124,ML Engineer,IBM,Hyderabad,Python,Mid-Level,7.9,10-11-2022,2022,Nov
125,Data Engineer,TCS,Ahmedabad,AWS,Mid-Level,18.4,29-12-2022,2022,Dec
126,Project Manager,Capgemini,Kolkata,Excel,Mid-Level,6.6,30-06-2020,2020,Jun
127,Data Analyst,Tech Mahindra,Hyderabad,Spark,Fresher,6.4,19-07-2022,2022,Jul
128,Project Manager,Deloitte,Mumbai,Spark,Leadership,25.9,18-06-2022,2022,Jun
129,Data Engineer,Accenture,Chennai,Excel,Fresher,7.5,26-11-2020,2020,Nov
130,Business Analyst,TCS,Delhi,Azure,Leadership,8.2,24-05-2020,2020,May
131,Data Engineer,Oracle,Hyderabad,Power BI,Fresher,15.2,07-03-2021,2021,Mar
132,Data Scientist,Accenture,Chennai,Tableau,Mid-Level,20.6,03-03-2020,2020,Mar
133,Software Engineer,Cognizant,Delhi,Excel,Mid-Level,28.9,15-08-2021,2021,Aug
134,Data Scientist,Accenture,Chennai,Spark,Fresher,15.6,25-07-2022,2022,Jul
135,Software Engineer,Deloitte,Noida,Excel,Mid-Level,19.8,10-08-2022,2022,Aug
136,DevOps Engineer,Zoho,Chennai,Tableau,Mid-Level,25.9,21-05-2021,2021,May
137,Software Engineer,IBM,Hyderabad,Tableau,Mid-Level,26.1,12-01-2023,2023,Jan
138,Software Engineer,Oracle,Mumbai,Excel,Fresher,13.4,24-01-2020,2020,Jan
139,Business Analyst,Cognizant,Kolkata,Machine Learning,Mid-Level,23.2,27-03-2022,2022,Mar
140,Data Engineer,Amazon,Mumbai,Spark,Mid-Level,17.9,09-02-2020,2020,Feb
141,Data Analyst,Accenture,Ahmedabad,Machine Learning,Mid-Level,13.8,25-01-2021,2021,Jan
142,Software Engineer,Accenture,Bangalore,Power BI,Fresher,6.7,12-07-2021,2021,Jul
143,Data Engineer,Oracle,Kolkata,AWS,Fresher,4.7,24-01-2021,2021,Jan
144,Data Engineer,HCLTech,Mumbai,Spark,Senior,10.1,09-04-2022,2022,Apr
145,Software Engineer,IBM,Kolkata,Azure,Mid-Level,10.4,11-01-2023,2023,Jan
146,Data Engineer,Flipkart,Kolkata,AWS,Mid-Level,7.7,30-05-2020,2020,May
147,Data Analyst,Cognizant,Gurgaon,AWS,Fresher,27,27-10-2020,2020,Oct
148,DevOps Engineer,Infosys,Ahmedabad,Tableau,Mid-Level,21.4,20-10-2020,2020,Oct
149,ML Engineer,Flipkart,Ahmedabad,Tableau,Fresher,8.1,08-08-2020,2020,Aug
150,Data Engineer,Flipkart,Chennai,Spark,Mid-Level,23.3,26-05-2022,2022,May
151,Software Engineer,Zoho,Hyderabad,Power BI,Mid-Level,5.4,12-05-2022,2022,May
152,Business Analyst,TCS,Kolkata,Tableau,Senior,11.2,21-07-2021,2021,Jul
153,Data Engineer,Flipkart,Pune,SQL,Fresher,22.8,17-07-2020,2020,Jul
154,Business Analyst,Infosys,Bangalore,Tableau,Fresher,26.7,30-11-2020,2020,Nov
155,Data Scientist,Cognizant,Ahmedabad,Power BI,Senior,29.6,12-02-2020,2020,Feb
156,Data Scientist,Oracle,Mumbai,Power BI,Mid-Level,26.2,17-11-2020,2020,Nov
157,ML Engineer,Flipkart,Noida,R,Fresher,11.2,22-01-2023,2023,Jan
158,Data Scientist,TCS,Delhi,Spark,Fresher,9.1,05-08-2020,2020,Aug
159,Business Analyst,Flipkart,Chennai,Python,Fresher,24.6,11-09-2022,2022,Sep
160,Data Scientist,Flipkart,Pune,R,Mid-Level,27,04-09-2020,2020,Sep
161,Data Engineer,Cognizant,Noida,Azure,Mid-Level,21.3,26-07-2021,2021,Jul
162,Data Engineer,Flipkart,Ahmedabad,Azure,Mid-Level,15.8,27-01-2023,2023,Jan
163,ML Engineer,Oracle,Bangalore,Azure,Fresher,21.2,16-02-2023,2023,Feb
164,Data Scientist,Amazon,Noida,Power BI,Leadership,10,15-09-2020,2020,Sep
165,Software Engineer,Tech Mahindra,Gurgaon,R,Leadership,17.8,07-08-2020,2020,Aug
166,Data Engineer,Infosys,Bangalore,Tableau,Fresher,22.8,09-02-2020,2020,Feb
167,Project Manager,Tech Mahindra,Noida,Spark,Leadership,11.6,17-07-2020,2020,Jul
168,Business Analyst,Wipro,Hyderabad,Excel,Mid-Level,21.9,31-03-2022,2022,Mar
169,ML Engineer,HCLTech,Bangalore,Power BI,Mid-Level,24.7,08-01-2021,2021,Jan
170,Data Engineer,Infosys,Bangalore,Machine Learning,Leadership,27,01-01-2022,2022,Jan
171,Business Analyst,Oracle,Pune,Machine Learning,Senior,16.3,07-05-2021,2021,May
172,DevOps Engineer,Flipkart,Noida,Spark,Mid-Level,12.8,16-02-2020,2020,Feb
173,Data Analyst,Accenture,Gurgaon,AWS,Senior,7.6,08-08-2020,2020,Aug
174,Business Analyst,Tech Mahindra,Gurgaon,Tableau,Leadership,12.6,01-01-2023,2023,Jan
175,ML Engineer,Accenture,Gurgaon,Azure,Mid-Level,4.2,11-03-2022,2022,Mar
176,ML Engineer,Tech Mahindra,Ahmedabad,Tableau,Mid-Level,11.6,26-10-2022,2022,Oct
177,Data Engineer,Deloitte,Bangalore,AWS,Senior,29.3,11-02-2020,2020,Feb
178,Project Manager,Infosys,Mumbai,Python,Senior,22.2,14-11-2022,2022,Nov
179,DevOps Engineer,Capgemini,Mumbai,Spark,Fresher,16.5,08-12-2020,2020,Dec
180,Data Scientist,Capgemini,Chennai,Azure,Fresher,13.3,08-07-2021,2021,Jul
181,Data Scientist,Deloitte,Noida,AWS,Senior,6.2,23-12-2021,2021,Dec
182,Software Engineer,Zoho,Mumbai,Power BI,Senior,29.5,21-01-2022,2022,Jan
183,Data Scientist,TCS,Ahmedabad,Azure,Fresher,22.6,16-12-2021,2021,Dec
184,Project Manager,Oracle,Noida,AWS,Senior,20.3,27-10-2021,2021,Oct
185,Data Scientist,Deloitte,Hyderabad,Spark,Mid-Level,5,01-11-2021,2021,Nov
186,Data Scientist,Zoho,Bangalore,Azure,Fresher,23.2,03-06-2020,2020,Jun
187,Software Engineer,Oracle,Pune,Azure,Senior,24.2,30-10-2020,2020,Oct
188,Data Analyst,Capgemini,Hyderabad,Tableau,Fresher,4.3,30-12-2021,2021,Dec
189,Business Analyst,HCLTech,Ahmedabad,SQL,Fresher,29,30-07-2022,2022,Jul
190,Data Analyst,Oracle,Noida,AWS,Senior,14,25-12-2022,2022,Dec
191,Data Scientist,Amazon,Hyderabad,Machine Learning,Fresher,14.7,28-09-2020,2020,Sep
192,ML Engineer,Deloitte,Kolkata,Excel,Fresher,23.5,06-03-2021,2021,Mar
193,Data Analyst,TCS,Gurgaon,Python,Fresher,13.9,18-02-2021,2021,Feb
194,ML Engineer,Oracle,Hyderabad,Python,Mid-Level,17.8,26-06-2022,2022,Jun
195,Software Engineer,Cognizant,Hyderabad,Tableau,Mid-Level,27.1,01-02-2020,2020,Feb
196,DevOps Engineer,Capgemini,Delhi,Python,Mid-Level,4.7,28-12-2021,2021,Dec
197,Data Scientist,TCS,Delhi,SQL,Fresher,18.1,10-10-2020,2020,Oct
198,Project Manager,Oracle,Gurgaon,Machine Learning,Fresher,11.1,29-10-2020,2020,Oct
199,Data Analyst,Amazon,Chennai,AWS,Mid-Level,7.8,23-09-2020,2020,Sep
200,Business Analyst,Accenture,Noida,Python,Mid-Level,19.7,13-12-2022,2022,Dec
201,Data Engineer,Amazon,Ahmedabad,AWS,Senior,26.2,09-08-2021,2021,Aug
202,Software Engineer,Infosys,Kolkata,Azure,Fresher,12.2,26-01-2023,2023,Jan
203,Data Analyst,Zoho,Hyderabad,Machine Learning,Mid-Level,23.5,18-12-2021,2021,Dec
204,ML Engineer,IBM,Mumbai,R,Mid-Level,20.2,02-01-2021,2021,Jan
205,DevOps Engineer,Accenture,Hyderabad,Azure,Fresher,18,03-10-2021,2021,Oct
206,Data Scientist,HCLTech,Delhi,SQL,Mid-Level,27.1,09-05-2022,2022,May
207,Data Analyst,Zoho,Kolkata,Excel,Fresher,6.2,18-02-2022,2022,Feb
208,Data Analyst,Capgemini,Chennai,SQL,Mid-Level,17.6,12-01-2020,2020,Jan
209,Data Analyst,Deloitte,Noida,Excel,Senior,5.1,02-09-2022,2022,Sep
210,Software Engineer,TCS,Ahmedabad,Spark,Mid-Level,12.9,29-10-2021,2021,Oct
211,Project Manager,HCLTech,Chennai,Excel,Mid-Level,11,31-01-2020,2020,Jan
212,Data Scientist,Wipro,Hyderabad,Machine Learning,Mid-Level,14.3,08-11-2021,2021,Nov
213,ML Engineer,Tech Mahindra,Delhi,SQL,Fresher,12.3,09-11-2021,2021,Nov
214,Data Engineer,Tech Mahindra,Pune,Spark,Mid-Level,9.1,29-07-2020,2020,Jul
215,Data Scientist,Oracle,Gurgaon,Spark,Mid-Level,4.3,22-02-2020,2020,Feb
216,DevOps Engineer,TCS,Hyderabad,Power BI,Mid-Level,12.3,04-05-2021,2021,May
217,DevOps Engineer,Accenture,Mumbai,AWS,Senior,10.9,05-04-2021,2021,Apr
218,Data Analyst,HCLTech,Chennai,Tableau,Mid-Level,26.3,13-05-2020,2020,May
219,Data Analyst,Accenture,Kolkata,R,Fresher,19.6,20-12-2022,2022,Dec
220,DevOps Engineer,Capgemini,Gurgaon,R,Mid-Level,18.5,26-12-2022,2022,Dec
221,Data Engineer,Capgemini,Pune,Azure,Leadership,18.5,29-08-2022,2022,Aug
222,Data Scientist,Accenture,Delhi,Machine Learning,Senior,28.7,19-01-2020,2020,Jan
223,Data Scientist,Cognizant,Gurgaon,Python,Fresher,29.7,06-12-2021,2021,Dec
224,Project Manager,Zoho,Chennai,Machine Learning,Mid-Level,6.5,27-08-2021,2021,Aug
225,ML Engineer,Wipro,Bangalore,SQL,Fresher,4.4,08-07-2022,2022,Jul
226,Data Engineer,HCLTech,Gurgaon,Spark,Mid-Level,26.4,01-07-2020,2020,Jul
227,Business Analyst,Zoho,Ahmedabad,Python,Senior,27.4,27-04-2022,2022,Apr
228,Software Engineer,TCS,Ahmedabad,Spark,Senior,17.2,30-05-2020,2020,May
229,ML Engineer,Zoho,Chennai,Spark,Fresher,10.5,23-04-2021,2021,Apr
230,Data Engineer,Capgemini,Kolkata,Python,Mid-Level,6.7,29-08-2021,2021,Aug
231,Data Analyst,Wipro,Ahmedabad,Python,Mid-Level,27.2,13-07-2022,2022,Jul
232,Software Engineer,Capgemini,Pune,Spark,Mid-Level,18.8,06-04-2020,2020,Apr
233,DevOps Engineer,Flipkart,Noida,AWS,Mid-Level,17.5,12-12-2022,2022,Dec
234,Project Manager,TCS,Kolkata,R,Mid-Level,23.4,07-10-2022,2022,Oct
235,Business Analyst,Zoho,Bangalore,R,Mid-Level,17.5,15-01-2021,2021,Jan
236,Data Engineer,HCLTech,Mumbai,Machine Learning,Mid-Level,4.5,01-12-2020,2020,Dec
237,Data Scientist,Capgemini,Noida,Power BI,Fresher,25.8,16-02-2020,2020,Feb
238,Software Engineer,Cognizant,Hyderabad,Spark,Mid-Level,26.7,02-11-2022,2022,Nov
239,Software Engineer,Flipkart,Ahmedabad,SQL,Mid-Level,9.8,23-08-2022,2022,Aug
240,Data Analyst,Infosys,Ahmedabad,R,Mid-Level,21.4,15-07-2020,2020,Jul
241,Data Scientist,Flipkart,Gurgaon,Excel,Mid-Level,9.7,13-03-2021,2021,Mar
242,Project Manager,Zoho,Bangalore,SQL,Fresher,5.1,23-08-2022,2022,Aug
243,Data Engineer,Wipro,Hyderabad,Python,Leadership,12.4,18-01-2020,2020,Jan
244,Data Engineer,Oracle,Pune,Tableau,Mid-Level,29.2,27-08-2021,2021,Aug
245,Business Analyst,HCLTech,Kolkata,R,Fresher,24.4,11-11-2021,2021,Nov
246,Project Manager,Wipro,Mumbai,R,Mid-Level,29.2,12-02-2020,2020,Feb
247,Business Analyst,Infosys,Mumbai,Power BI,Senior,7,22-06-2021,2021,Jun
248,Business Analyst,Capgemini,Delhi,Excel,Senior,20.1,30-07-2022,2022,Jul
249,Business Analyst,Wipro,Delhi,Azure,Senior,9.6,22-02-2020,2020,Feb
250,ML Engineer,TCS,Mumbai,Spark,Leadership,11.1,18-01-2022,2022,Jan
251,Data Scientist,Tech Mahindra,Delhi,Azure,Mid-Level,17.6,18-09-2020,2020,Sep
252,Project Manager,Accenture,Pune,Spark,Mid-Level,27.9,19-01-2020,2020,Jan
253,Data Scientist,Deloitte,Chennai,R,Senior,19.3,29-03-2020,2020,Mar
254,DevOps Engineer,Deloitte,Pune,R,Mid-Level,9,30-05-2022,2022,May
255,Project Manager,Accenture,Pune,Power BI,Fresher,15.5,28-04-2020,2020,Apr
256,DevOps Engineer,Accenture,Bangalore,Machine Learning,Fresher,21.7,10-05-2022,2022,May
257,Data Scientist,TCS,Kolkata,AWS,Senior,9,30-11-2020,2020,Nov
258,Data Analyst,Flipkart,Delhi,R,Mid-Level,25.4,21-11-2020,2020,Nov
259,Business Analyst,Amazon,Ahmedabad,Power BI,Fresher,29.4,17-07-2020,2020,Jul
260,Software Engineer,Deloitte,Ahmedabad,SQL,Fresher,7,23-08-2022,2022,Aug
261,ML Engineer,Tech Mahindra,Noida,Azure,Mid-Level,19.9,28-06-2021,2021,Jun
262,Data Scientist,Oracle,Bangalore,R,Mid-Level,20,25-04-2022,2022,Apr
263,Software Engineer,Zoho,Ahmedabad,Azure,Mid-Level,10.4,11-09-2022,2022,Sep
264,DevOps Engineer,Amazon,Ahmedabad,SQL,Mid-Level,7.6,06-04-2022,2022,Apr
265,Project Manager,Cognizant,Pune,R,Mid-Level,20.4,19-11-2020,2020,Nov
266,Data Analyst,Flipkart,Bangalore,SQL,Fresher,8,21-03-2021,2021,Mar
267,ML Engineer,Deloitte,Kolkata,Tableau,Mid-Level,5.4,02-08-2021,2021,Aug
268,Project Manager,Infosys,Noida,Machine Learning,Mid-Level,4.4,28-10-2020,2020,Oct
269,DevOps Engineer,Flipkart,Noida,Spark,Mid-Level,24.2,18-08-2020,2020,Aug
270,DevOps Engineer,TCS,Ahmedabad,SQL,Mid-Level,23.5,25-07-2021,2021,Jul
271,Data Analyst,Tech Mahindra,Ahmedabad,SQL,Mid-Level,24.9,15-11-2020,2020,Nov
272,Data Engineer,Accenture,Noida,Python,Mid-Level,10.8,21-06-2021,2021,Jun
273,DevOps Engineer,Wipro,Chennai,Excel,Fresher,17.4,03-04-2020,2020,Apr
274,ML Engineer,Wipro,Ahmedabad,AWS,Mid-Level,11.8,17-07-2020,2020,Jul
275,Data Engineer,Zoho,Hyderabad,AWS,Mid-Level,29.1,21-02-2023,2023,Feb
276,ML Engineer,IBM,Gurgaon,SQL,Senior,6.4,02-01-2023,2023,Jan
277,Data Analyst,Accenture,Kolkata,R,Mid-Level,16.8,17-03-2021,2021,Mar
278,Business Analyst,IBM,Chennai,Python,Mid-Level,20.6,26-12-2020,2020,Dec
279,Data Analyst,Flipkart,Chennai,Tableau,Fresher,24.9,04-05-2021,2021,May
280,ML Engineer,Amazon,Bangalore,Tableau,Leadership,21,18-05-2021,2021,May
281,Project Manager,IBM,Ahmedabad,SQL,Mid-Level,16.2,30-07-2020,2020,Jul
282,DevOps Engineer,Tech Mahindra,Noida,Power BI,Mid-Level,14.1,11-10-2020,2020,Oct
283,Business Analyst,Capgemini,Mumbai,Azure,Fresher,19.5,26-02-2021,2021,Feb
284,ML Engineer,Zoho,Delhi,Excel,Senior,4.1,13-07-2022,2022,Jul
285,Data Scientist,Zoho,Delhi,Python,Mid-Level,18.2,13-06-2020,2020,Jun
286,Project Manager,Amazon,Pune,Python,Leadership,26.8,25-02-2022,2022,Feb
287,Software Engineer,Wipro,Pune,Machine Learning,Mid-Level,21.3,22-10-2022,2022,Oct
288,Software Engineer,TCS,Kolkata,SQL,Mid-Level,12,22-07-2022,2022,Jul
289,Data Scientist,Wipro,Chennai,Machine Learning,Leadership,20.1,18-01-2021,2021,Jan
